Day of Seller Ordered At (ET),Order Number,Seller Name,Product Type,Product Line,Set Name,Item Condition,Product Name,TOTAL PRODUCT COUNT,Item Unit Price (USD),Shipping*,Net Sales*,Net Revenue*,Refunded*,Commission Fees*,Program Fees*,Processing Fees*,Total Fees*,Cost Basis,Profit
10/21/22,97045F35-10316A-84E70,ProfessorSteg,Cards,Magic,Scars of Mirrodin,Near Mint,Asceticism,1,$6.99,$0.99,$7.98,$6.65,$0.00,$0.82,$0.00,$0.51,$1.33,$0.25,
10/22/22,97045F35-D3FD96-90A5D,ProfessorSteg,Cards,Magic,10th Edition,Near Mint,Underground River,1,$7.99,$0.99,$8.98,$7.51,$0.00,$0.92,$0.00,$0.55,$1.47,$0.25,
10/23/22,97045F35-1D5A9A-96736,ProfessorSteg,Cards,Magic,Eventide,Near Mint,Ward of Bones,1,$9.00,$0.99,$9.99,$8.40,$0.00,$1.02,$0.00,$0.57,$1.59,$0.25,
10/25/22,97045F35-16C3DB-A6BF9,ProfessorSteg,Cards,Magic,Morningtide,Near Mint,Scapeshift,1,$20.00,$0.99,$0.00,$0.00,$20.99,$2.15,$0.00,$0.82,$0.00,$0.25,
10/25/22,97045F35-59E7BB-00C31,ProfessorSteg,Cards,YuGiOh,Starter Deck: Joey,Near Mint Unlimited,Red-Eyes B. Dragon,1,$7.99,$0.99,$8.98,$7.52,$0.00,$0.92,$0.00,$0.54,$1.46,$0.25,
10/27/22,97045F35-6353EB-ACDD2,ProfessorSteg,Cards,Magic,Premium Deck Series: Slivers,Near Mint Foil,Sliver Overlord,1,$32.99,$0.99,$33.98,$29.29,$0.00,$3.48,$0.00,$1.21,$4.69,$0.25,
10/27/22,97045F35-B14785-88173,ProfessorSteg,Cards,Magic,Mirrodin,Near Mint,Isochron Scepter,2,$9.60,$0.99,$20.19,$17.27,$0.00,$2.07,$0.00,$0.85,$2.92,$0.25,
10/27/22,97045F35-C4DE07-BC2D6,ProfessorSteg,Cards,Magic,Adventures in the Forgotten Realms,Near Mint,Treasure Vault,1,$4.00,$0.99,$4.99,$4.04,$0.00,$0.51,$0.00,$0.44,$0.95,$0.25,
11/01/22,97045F35-EED5E8-D6FB8,ProfessorSteg,Cards,YuGiOh,Starter Deck: Kaiba,Near Mint Unlimited,Blue-Eyes White Dragon,2,$28.99,$0.99,$58.97,$51.05,$0.00,$6.04,$0.00,$1.88,$7.92,$0.25,
11/03/22,97045F35-66F8B8-9F646,ProfessorSteg,Cards,Magic,Duel Decks: Phyrexia vs. the Coalition,Near Mint,Phyrexian Processor,1,$1.48,$0.99,$2.47,$1.85,$0.00,$0.25,$0.00,$0.37,$0.62,$0.25,
11/07/22,97045F35-F70531-297C0,ProfessorSteg,Cards,Magic,Archenemy,Near Mint,Taurean Mauler,1,$0.20,$0.99,$1.19,$0.74,$0.00,$0.12,$0.00,$0.33,$0.45,$0.25,
11/09/22,97045F35-8DF168-25EAC,ProfessorSteg,Cards,YuGiOh,Starter Deck: Pegasus,Near Mint Unlimited,Relinquished,1,$0.50,$0.99,$1.49,$1.00,$0.00,$0.15,$0.00,$0.34,$0.49,$0.25,
11/10/22,97045F35-4C212C-63453,ProfessorSteg,Cards,Magic,Dissension,Near Mint,Experiment Kraj,1,$1.99,$0.99,$2.98,$2.30,$0.00,$0.30,$0.00,$0.38,$0.68,$0.25,
11/14/22,97045F35-7EC87F-582B5,ProfessorSteg,Cards,YuGiOh,Starter Deck: Pegasus,Near Mint Unlimited,Relinquished,1,$0.60,$0.99,$1.59,$1.09,$0.00,$0.16,$0.00,$0.34,$0.50,$0.25,
11/16/22,97045F35-04C97A-918BD,ProfessorSteg,Cards,Magic,Eventide,Near Mint,Gift of the Deity,1,$0.05,$0.99,$1.04,$0.60,$0.00,$0.11,$0.00,$0.33,$0.44,$0.25,
11/16/22,97045F35-A97157-65E20,ProfessorSteg,Cards,Magic,Shadowmoor,Near Mint,Faerie Macabre,1,$0.65,$0.99,$14.64,$12.45,$0.00,$1.50,$0.00,$0.69,$2.19,$0.25,
11/16/22,97045F35-A97157-65E20,ProfessorSteg,Cards,Magic,Theros Beyond Death,Near Mint,Underworld Breach,2,$6.50,0,0,0,0,0,0,0,0,$0.25,
