Order ID,Order Date,Product Price,Shipping Price,Total Sale Price,Shipping Cost,Product Cost,Platform Fee,Net Profit,ROI,,,,,
97045F35-FF4E20-0425F,3/26/2023,$0.25,$0.99,$1.24,$0.20,$0.25,$0.46,$0.33,132.02%,,,,,
97045F35-49C790-0478A,3/26/2023,$4.20,$0.99,$5.19,$0.20,$0.25,$0.97,$3.77,1508.20%,,,,,
97045F35-660B08-2833A,3/27/2023,$5.38,$0.99,$5.38,$0.20,$1.00,$0.99,$3.19,318.60%,,,,,
97045F35-4EB461-EAFE3,3/27/2023,$15.00,$0.99,$15.00,$0.20,$0.25,$2.24,$12.32,4926.00%,,,,,
97045F35-73E5D2-DB9CE,3/29/2023,$7.80,$0.99,$7.80,$0.20,$0.50,$1.31,$5.79,1158.76%,,,,,
97045F35-0A6297-BF4CC,3/29/2023,$0.28,$0.99,$1.27,$0.20,$0.25,$0.46,$0.36,142.47%,,,,,
97045F35-DB64DA-1536C,3/29/2023,$0.75,$0.99,$1.74,$0.20,$0.75,$0.52,$0.27,35.41%,,,,,
97045F35-5164D2-8DD42,3/29/2023,$0.84,$0.99,$1.83,$0.20,$0.25,$0.54,$0.84,337.57%,,,,,
97045F35-CE3F97-741A0,3/29/2023,$0.34,$0.99,$1.33,$0.20,$0.25,$0.47,$0.41,163.37%,,,,,
97045F35-D70BEA-1CFA4,3/30/2023,$0.41,$0.99,$1.40,$0.20,$0.25,$0.48,$0.47,187.76%,,,,,
97045F35-9F38CE-1324C,3/30/2023,$0.39,$0.99,$1.38,$0.20,$0.25,$0.48,$0.45,180.79%,,,,,
97045F35-AEEE17-27327,3/30/2023,$0.44,$0.99,$1.43,$0.20,$0.25,$0.48,$0.50,198.21%,,,,,
97045F35-71DB92-D1CA7,3/31/2023,$3.92,$0.99,$4.91,$0.20,$0.25,$0.93,$3.53,1410.64%,,,,,
97045F35-0DF9AC-E729F,3/31/2023,$0.27,$0.99,$1.26,$0.20,$0.25,$0.46,$0.35,138.98%,,,,,
97045F35-7062EE-3A829,4/3/2023,$0.65,$0.99,$1.64,$0.20,$0.50,$0.51,$0.43,85.69%,,,,,
97045F35-EF8A9C-3E909,4/4/2023,$0.91,$0.99,$1.90,$0.20,$0.50,$0.55,$0.65,130.98%,,,,,
97045F35-82C30D-0FD9E,4/4/2023,$0.46,$0.99,$1.45,$0.20,$0.50,$0.49,$0.26,52.59%,,,,,
97045F35-7D91D9-74736,4/5/2023,$0.22,$0.99,$1.21,$0.20,$0.25,$0.46,$0.30,121.56%,,,,,
97045F35-99FBC6-25BCD,12/6/2022,$0.06,$0.99,$1.05,$0.20,$0.50,$0.44,-$0.09,-17.09%,,,,,
97045F35-9C9084-09299,12/7/2022,$0.01,$0.99,$1.00,$0.20,$0.25,$0.43,$0.12,48.40%,,,,,
97045F35-BE451A-E8D0A,12/10/2022,$0.05,$0.99,$1.04,$0.20,$0.25,$0.43,$0.16,62.34%,,,,,
97045F35-A642C5-C75F6,12/10/2022,$0.25,$0.99,$1.24,$0.20,$0.25,$0.46,$0.33,132.02%,,,,,
97045F35-70327F-1697A,12/11/2022,$0.24,$0.99,$1.23,$0.20,$1.25,$0.46,-$0.68,-54.29%,,,,,
97045F35-8D4ED6-8B337,12/12/2022,$0.05,$0.99,$1.04,$0.20,$0.25,$0.43,$0.16,62.34%,,,,,
97045F35-3A2907-1E2CB,12/13/2022,$2.88,$0.99,$3.87,$0.20,$1.25,$0.80,$1.62,129.66%,,,,,
97045F35-E6E90C-7E5C8,12/13/2022,$1.51,$0.99,$2.50,$0.20,$0.25,$0.62,$1.43,571.00%,,,,,
97045F35-BB924A-1D163,12/14/2022,$10.75,$0.99,$11.74,$0.20,$0.25,$1.81,$9.48,3790.22%,,,,,
