Card Name,Number of Sales,AVERAGE of Sale Price
Magic - Zendikar Rising: Marauding Blight-Priest - #112 - C - Near Mint,8,$0.24
Magic - Theros Beyond Death: Island - #251 - L - Near Mint,7,$1.88
Magic - Theros Beyond Death: Swamp - #252 - L - Near Mint,6,$1.23
Magic - Theros Beyond Death: Plains - #250 - L - Near Mint,6,$0.54
Magic - Theros Beyond Death: Island - #251 - Near Mint,5,$1.13
Magic - Shadowmoor: Rite of Consumption - C - Near Mint,4,$0.66
Magic - Shadowmoor: Devoted Druid - C - Near Mint Devoted Druid,4,$0.50
Magic - Scars of Mirrodin: Steady Progress - C - Near Mint,4,$0.25
Magic - Magic Origins: Fiery Impulse - #145 - C - Near Mint,4,$0.27
Magic - Kaldheim: Ravenform - #72 - C - Near Mint,4,$0.25
Magic - Conflux: Scattershot Archer - C - Near Mint,4,$0.51
Magic - Aether Revolt: Metallic Rebuke - #39 - C - Near Mint,4,$0.25
Magic - Adventures in the Forgotten Realms: Vampire Spawn - #123 - C - Near Mint,4,$0.01
Magic - Zendikar: Feast of Blood - #88 - U - Near Mint,3,$0.25
Magic - Zendikar Rising: Tajuru Blightblade - #208 - C - Near Mint,3,$0.12
Magic - Urza's Destiny: Wall of Glare - C - Near Mint,3,$0.27
Magic - Timeshifted: Thallid - #86 - S - Near Mint,3,$0.25
Magic - Time Spiral: Grapeshot - #160 - C - Near Mint,3,$0.19
Magic - Modern Horizons 2: Scurry Oak - #172 - U - Near Mint,3,$0.25
Magic - Magic 2013 (M13): Krenko's Command - #139 - C - Near Mint,3,$0.30
Magic - Kaldheim: Elven Ambush - #391 - U - Near Mint,3,$0.25
Magic - Battle for Zendikar: Spawning Bed - #248,3,$0.40
Magic - Battle for Zendikar: Dispel - #76 - C - Near Mint,3,$0.25
Magic - Aether Revolt: Unbridled Growth - #126 - C - Near Mint,3,$0.07
"Magic - Adventures in the Forgotten Realms: Shambling Ghast - #119 - C
- Near Mint",3,$0.15
Magic - Zendikar Rising: Gnarlid Colony - #185 - C - Near Mint,2,$0.05
Magic - Worldwake: Scrib Nibblers - #66 - U - Near Mint,2,$0.25
Magic - Time Spiral: Spirit Loop - #42 - U - Near Mint,2,$0.87
Magic - Time Spiral: Clockspinning - #53 - C - Near Mint,2,$0.27
Magic - Time Spiral: Aspect of Mongoose - #191 - U - Near Mint,2,$1.78
Magic - Throne of Eldraine: Crashing Drawbridge - #217 - C - Near Mint,2,$0.34
Magic - Theros Beyond Death: Transcendent Envoy - #40 - C - Near Mint,2,$0.07
Magic - Theros Beyond Death: Destiny Spinner - #168 - U - Near Mint,2,$1.41
Magic - Tempest: Flickering Ward - #231 - U - Near Mint,2,$5.23
Magic - Shadows over Innistrad: Essence Flux - #61 - U - Near Mint,2,$1.69
Magic - Scars of Mirrodin: Thrummingbird - #47 - U - Near Mint,2,$0.26
Magic - Scars of Mirrodin: Nim Deathmantle - R - Near Mint,2,$2.85
Magic - Scars of Mirrodin: Contagion Clasp - U - Near Mint,2,$0.58
Magic - Rise of the Eldrazi: Ulamog's Crusher - #13 - C - Near Mint,2,$0.27
Magic - Rise of the Eldrazi: Stalwart Shield-Bearers - #46 - C - Near Mint,2,$0.40
Magic - Premium Deck Series: Slivers: Muscle Sliver - C - Near Mint Foil,2,$1.24
Magic - Premium Deck Series: Slivers: Metallic Sliver - C - Near Mint Foil,2,$0.38
Magic - Planechase: Skeleton Shard - U - Near Mint,2,$0.27
Magic - Planechase: Myr Enforcer - C - Near Mint,2,$0.52
Magic - Planechase: Flamekin Harbinger - U - Near Mint,2,$2.09
Magic - Planar Chaos: Psychotrope Thallid - #137 - U - Near Mint,2,$4.20
Magic - New Phyrexia: Volt Charge - C - Near Mint,2,$0.14
Magic - New Phyrexia: Viridian Harvest - C - Near Mint,2,$0.11
Magic - New Phyrexia: Victorious Destruction - C - Near Mint,2,$0.07
Magic - New Phyrexia: Toxic Nim - C - Near Mint,2,$0.12
Magic - New Phyrexia: Spined Thopter - C - Near Mint,2,$0.12
Magic - New Phyrexia: Shriek Raptor - C - Near Mint,2,$0.09
Magic - New Phyrexia: Scrapyard Salvo - C - Near Mint,2,$0.09
Magic - New Phyrexia: Phyrexian Hulk - C - Near Mint,2,$0.06
Magic - New Phyrexia: Defensive Stance - C - Near Mint,2,$0.04
Magic - New Phyrexia: Chained Throatseeker - C - Near Mint,2,$0.07
Magic - Modern Horizons 2: Herd Baloth - #165 - U - Near Mint,2,$0.25
Magic - Modern Horizons 2: Blessed Respite - #150 - Near Mint,2,$0.40
Magic - Magic 2014 (M14): Brave the Elements - #10 - U - Near Mint,2,$0.75
Magic - Magic 2010 (M10): Overrun - #198 - U - Near Mint,2,$1.01
Magic - Magic 2010 (M10): Captain of the Watch - #6 - R - Near Mint,2,$0.52
Magic - Lorwyn: Lignify - #228 - C - Near Mint,2,$1.13
Magic - Khans of Tarkir: Tomb of the Spirit Dragon - #245 - U - Near Mint,2,$0.41
"Magic - Kamigawa: Neon Dynasty: Mountain (299) - JP Full Art - #299 - L
- Near Mint",2,$1.55
Magic - Jumpstart: Unstable Obelisk - #489 - U - Near Mint,2,$0.09
Magic - Innistrad: Midnight Hunt: Outland Liberator (Showcase) - #303 - U - Near Mint,2,$0.25
Magic - Innistrad: Midnight Hunt: Otherworldly Gaze - #67 - C - Near Mint,2,$0.30
Magic - Ikoria: Lair of Behemoths: Parcelbeast - #199 - U - Near Mint,2,$0.26
Magic - Ice Age: Snow-Covered Swamp - #351 - L - Heavily Played,2,$0.87
Magic - Hour of Devastation: Survivors' Encampment - #184 - C - Near Mint,2,$0.28
Magic - Heroes Path Promos: Lash of the Tyrant - C - Near Mint,2,$10.95
Magic - Future Sight: Mesmeric Sliver - #53 - C - Near Mint,2,$0.25
Magic - Dragon's Maze: Crypt Incursion - #23 - C - Near Mint,2,$0.27
Magic - Conflux: Path to Exile - U - Near Mint Path to Exile,2,$2.74
Magic - Betrayers of Kamigawa: Empty-Shrine Kannushi - #2 - U - Lightly Played,2,$0.30
Magic - Avacyn Restored: Seraph Sanctuary - #228 - C - Near Mint,2,$0.60
Magic - Avacyn Restored: Cloudshift - #12 - C - Near Mint,2,$0.41
Magic - Archenemy: Terminate - C - Near Mint,2,$0.39
Magic - Archenemy: Seething Song - C - Lightly Played,2,$0.99
Magic - Adventures in the Forgotten Realms: Portable Hole - #33 - U - Near Mint,2,$0.92
Magic - Adventures in the Forgotten Realms: Owlbear - #198 - C - Near Mint,2,$0.01
Magic - Adventures in the Forgotten Realms: Moon-Blessed Cleric - #26 - U - Near Mint,2,$0.74
Magic - 10th Edition: No Rest for the Wicked - #165 - U - Near Mint,2,$0.45
Magic - 10th Edition: Forbidding Watchtower - #352 - U - Near Mint,2,$0.55
Magic - 10th Edition: Diabolic Tutor - #135 - Near Mint,2,$0.91
Zealot il-Vec,1,$0.05
Vitalize,1,$0.91
Victory's Herald,1,$0.22
Toil/Trouble,1,$0.01
Samite Censer-Bearer,1,$0.02
Rendclaw Trow,1,#DIV/0!
Ramosian Revivalist,1,$0.05
Pestilence Demon,1,$0.65
No Rest for the Wicked,1,$0.46
Magic - Zendikar: Spell Pierce - #67 - C - Near Mint,1,$0.20
Magic - Zendikar: Hellkite Charger - #131 - R - Near Mint Foil,1,$5.00
Magic - Zendikar: Expedition Map - #201 - C - Near Mint,1,$2.98
Magic - Zendikar: Adventuring Gear - #195 - C - Near Mint,1,$0.15
Magic - Worldwake: Ricochet Trap - #87 - U - Near Mint,1,$0.25
Magic - Worldwake: Lightkeeper of Emeria - #12 - U - Near Mint,1,$0.25
Magic - Worldwake: Bazaar Trader - #72 - R - Near Mint,1,$1.25
Magic - War of the Spark: Pollenbright Druid - #173 - C - Near Mint,1,$0.19
Magic - Visions: Righteous Aura - C - Near Mint,1,$0.25
Magic - Visions: Femeref Enchantress - R - Lightly Played,1,$8.89
Magic - Urza's Saga: Pestilence - #147 - C - Near Mint,1,$0.26
