Set Name,Order Count,Average Sale Price,Average Profit Pre Platform Fees
,1,$52.77,$0.05
Adventures in the Forgotten Realms,53,$0.61,$0.36
Aether Revolt,9,$0.22,-$0.03
Alara Reborn,1,$0.21,-$0.04
Amonkhet,1,$0.25,$0.00
Archenemy,14,$1.04,$0.78
Avacyn Restored,5,$0.42,$0.17
Battle for Zendikar,7,$0.31,$0.06
Betrayers of Kamigawa,3,$0.28,$0.03
Born of the Gods,1,$0.65,$0.40
Commander Legends,2,$0.37,$0.12
Commander: 2021,2,$0.21,-$0.05
Commander: Kaldheim,3,$0.48,$0.23
Commander: Kamigawa Neon Dynasty,1,$0.26,$0.01
Commander: Streets of New Capenna,16,$1.11,$0.86
Commander: Zendikar Rising,7,$0.22,-$0.03
Conflux,9,$3.47,$3.22
Conspiracy: Take the Crown,2,$0.90,$0.65
Dark Ascension,2,$0.35,$0.10
Dissension,1,$6.29,$6.04
Dominaria United,6,$0.60,$0.35
Dragon's Maze,5,$0.19,-$0.06
Dragons of Tarkir,1,$2.19,$1.94
Duel Decks Jace Vs Vraska,1,$0.25,$0.00
Duel Decks: Blessed vs. Cursed,2,$0.43,$0.18
Duel Decks:Divine vs. Demonic,2,$1.14,$0.89
Eldritch Moon,1,$0.29,$0.04
Eternal Masters,3,$0.29,$0.04
Eventide,4,$0.36,$0.02
Fallen Empires,1,$0.27,$0.02
Fifth Dawn,3,$0.89,$0.64
Future Sight,7,$0.16,-$0.09
Gatecrash,3,$0.52,$0.27
Hour of Devastation,2,$0.28,$0.03
Ice Age,2,$0.87,$0.62
Iconic Masters,1,$0.26,$0.01
Ikoria,5,$0.22,-$0.03
Innistrad,1,$0.54,$0.29
Invasion,1,$0.47,$0.22
JumpStart,3,$1.11,$1.02
Kaladesh,1,$0.25,$0.00
Kaldheim,10,$0.31,$0.06
Kamigawa: Neon Dynasty,14,$0.72,$0.47
Khans of Tarkir,3,$0.34,$0.09
Lorwyn,4,$0.71,$0.46
M10-23 Core Set,29,$0.81,$0.56
Magic Origins,4,$0.27,$0.02
Media Promos,3,$7.42,$5.50
Mercadian Masques,1,$0.76,$0.51
Midnight Hunt,7,$0.47,$0.22
Mirage,1,$18.25,$10.24
Mirrodin,1,$0.29,$0.04
Mirrodin Besieged,4,$0.32,$0.07
Modern Horizons 1,2,$0.36,$0.11
Modern Horizons 2,13,$1.19,$0.17
Modern Masters 2,1,$0.25,$0.00
New Phyrexia,36,$0.10,-$0.15
Oath of the Gatewatchers,1,$0.01,-$0.24
Onslaught,1,$0.36,$0.11
Planar Chaos,5,$1.82,$1.57
Planechase,23,$0.74,$0.49
Portal,1,$0.90,$0.65
Premium Deck Series: Slivers,11,$1.27,$1.02
Ravnica Allegiance,1,$0.22,-$0.03
Return to Ravnica,1,$0.30,$0.05
Rise of the Eldrazi,9,$1.86,$1.61
Scars of Mirrodin,18,$0.85,$0.60
Shadowmoore,8,$0.58,$0.33
Shadows Over Innistrad,3,$1.21,$0.96
Shards of Alara,1,$0.27,$0.02
Sixth Edition,2,$0.91,$0.66
Streets of New Capenna,1,$8.94,$8.69
Strixhaven,1,$0.60,$0.35
Stronghold,1,$1.03,$0.78
Tempest,2,$5.23,$4.98
Tenth Edition,13,$2.65,$2.40
Theros: Beyond Death,44,$1.38,$1.09
Throne of Eldrain,6,$0.46,$0.21
Time Spiral,18,$0.45,$0.18
Time Spiral Remastered,3,$0.50,$0.25
Torment,1,$0.26,$0.01
Urza's Destiny,5,$3.20,$2.95
Urza's Saga,1,$0.26,$0.01
Visions,2,$4.57,$1.47
War of the Spark,1,$0.19,-$0.06
WorldWake,5,$0.45,$0.20
Zendikar,8,$1.17,$0.92
Zendikar Rising,8,$0.14,-$0.11
Grand Total,533,$1.04,$0.36
