Order ID,Card Name,Set,Rarity,Card Type,Purchase Date,Purchase Price,Sale Date,Sale Price,Profit Before Fees,Return On Investment,Holding Period
97045F35-7062EE-3A829,Pestilence Demon,Rise of the Eldrazi,Rare,Creature,5/1/2019,$0.25,4/5/2023,$0.65,$0.40,160.00%,1435 days
97045F35-EF8A9C-3E909,Vitalize,Sixth Edition,Common,Instant,5/1/2019,$0.25,4/5/2023,$0.91,$0.66,264.00%,1435 days
97045F35-82C30D-0FD9E,No Rest for the Wicked,Tenth Edition,Uncommon,Enchantment,5/2/2019,$0.25,4/5/2023,$0.46,$0.21,84.00%,1434 days
97045F35-7D91D9-74736,Victory's Herald,Mirrodin Besieged,Rare,Creature,5/2/2019,$0.25,4/5/2023,$0.22,-$0.03,-12.00%,1434 days
97045F35-A47BA9-AA974,Amoeboid Changeling,Premium Deck Series: Slivers,Rare,Creature,12/6/2022,$0.25,12/6/2022,$1.50,$1.25,500.00%,0 days
97045F35-99FBC6-25BCD,Lightning Strike,Dominaria United,Common,Instant,1/1/2010,$0.25,12/6/2022,$0.02,-$0.23,-92.00%,4722 days
97045F35-99FBC6-25BCD,Invoke the Winds,Kamigawa: Neon Dynasty,Rare,Sorcery,1/1/2010,$0.25,12/6/2022,$0.04,-$0.21,-84.00%,4722 days
97045F35-9C9084-09299,Toil/Trouble,Dragon's Maze,Uncommon,Sorcery,1/1/2010,$0.25,12/7/2022,$0.01,-$0.24,-96.00%,4723 days
97045F35-BE451A-E8D0A,Rendclaw Trow,Eventide,Common,Creature,1/1/2010,$0.25,,,-$0.25,-100.00%,-40179 days
97045F35-A642C5-C75F6,Harrow,Zendikar,Common,Sorcery,1/1/2010,$0.25,12/10/2022,$0.25,$0.00,0.00%,4726 days
97045F35-8D4ED6-8B337,Dragon's Fire,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,12/12/2022,$0.05,-$0.20,-80.00%,4728 days
97045F35-70327F-1697A,Ramosian Revivalist,Future Sight,Uncommon,,1/1/2010,$0.25,,$0.05,-$0.20,-80.00%,-40179 days
97045F35-70327F-1697A,Samite Censer-Bearer,Future Sight,Common,,1/1/2010,$0.25,,$0.02,-$0.23,-92.00%,-40179 days
97045F35-70327F-1697A,Errant Doomsayers,Time Spiral,Common,,1/1/2010,$0.25,,$0.02,-$0.23,-92.00%,-40179 days
97045F35-70327F-1697A,Knight of the Holy Nimbus,Time Spiral,Uncommon,,1/1/2010,$0.25,,$0.10,-$0.15,-60.00%,-40179 days
97045F35-70327F-1697A,Zealot il-Vec,Time Spiral,Common,,1/1/2010,$0.25,,$0.05,-$0.20,-80.00%,-40179 days
97045F35-3A2907-1E2CB,Magic - Conflux: Scattershot Archer - C - Near Mint,Conflux,Common,,1/1/2010,$0.25,,$0.52,$0.27,108.00%,-40179 days
97045F35-3A2907-1E2CB,Magic - Future Sight: Thornweald Archer - #154 - C - Near Mint,Future Sight,Common,,1/1/2010,$0.25,,$0.08,-$0.17,-68.00%,-40179 days
97045F35-3A2907-1E2CB,"Magic - Commander: Streets of New Capenna: Arcane Signet - #360 - C
- Near Mint",Commander: Streets of New Capenna,Common,,1/1/2010,$0.25,,$0.70,$0.45,180.00%,-40179 days
97045F35-3A2907-1E2CB,Magic - Commander: Streets of New Capenna: Canopy Vista - #389 - R - Near Mint,Commander: Streets of New Capenna,Rare,,1/1/2010,$0.25,,$0.58,$0.33,132.00%,-40179 days
97045F35-3A2907-1E2CB,"Magic - Commander: Streets of New Capenna: Gavony Township - #406
- R - Near Mint",Commander: Streets of New Capenna,Rare,,1/1/2010,$0.25,,$1.00,$0.75,300.00%,-40179 days
97045F35-E6E90C-7E5C8,Magic - Planechase: Arcbound Crusher - U - Near Mint,Planechase,Uncommon,,1/1/2010,$0.25,,$1.51,$1.26,504.00%,-40179 days
97045F35-BB924A-1D163,Magic - Magic 2010 (M10): Soul Warden - #34 - C - Near Mint Foil,M10-23 Core Set,Common,,1/1/2010,$0.25,,$10.75,$10.50,4200.00%,-40179 days
97045F35-DC8491-95727,Magic - Adventures in the Forgotten Realms: Vampire Spawn - #123 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.01,-$0.24,-96.00%,-40179 days
97045F35-DC8491-95727,Magic - Adventures in the Forgotten Realms: Vampire Spawn - #123 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.01,-$0.24,-96.00%,-40179 days
97045F35-DC8491-95727,Magic - Adventures in the Forgotten Realms: Vampire Spawn - #123 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.01,-$0.24,-96.00%,-40179 days
97045F35-DC8491-95727,Magic - Adventures in the Forgotten Realms: Vampire Spawn - #123 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.01,-$0.24,-96.00%,-40179 days
97045F35-DC8491-95727,Magic - Theros Beyond Death: Transcendent Envoy - #40 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.07,-$0.18,-72.00%,-40179 days
97045F35-DC8491-95727,Magic - Theros Beyond Death: Transcendent Envoy - #40 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.07,-$0.18,-72.00%,-40179 days
97045F35-12AAB0-C7E71,"Magic - Adventures in the Forgotten Realms: Scaled Herbalist - #204 - C
- Near Mint",Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.02,-$0.23,-92.00%,-40179 days
97045F35-B6E6DD-1851D,Magic - Adventures in the Forgotten Realms: Fighter Class - #222 - R - Near Mint,Adventures in the Forgotten Realms,Rare,,1/1/2010,$0.25,,$0.75,$0.50,200.00%,-40179 days
97045F35-B2C542-91388,Magic - Adventures in the Forgotten Realms: Critical Hit - #137 - U - Near Mint,Adventures in the Forgotten Realms,Uncommon,,1/1/2010,$0.25,,$0.07,-$0.18,-72.00%,-40179 days
97045F35-B2C542-91388,Magic - Adventures in the Forgotten Realms: Fifty Feet of Rope - #244 - U - Near Mint,Adventures in the Forgotten Realms,Uncommon,,1/1/2010,$0.25,,$0.01,-$0.24,-96.00%,-40179 days
97045F35-B2C542-91388,Magic - Adventures in the Forgotten Realms: Green Dragon - #186 - U - Near Mint,Adventures in the Forgotten Realms,Uncommon,,1/1/2010,$0.25,,$0.04,-$0.21,-84.00%,-40179 days
97045F35-B2C542-91388,Magic - Adventures in the Forgotten Realms: Wight - #127 - R - Near Mint,Adventures in the Forgotten Realms,Rare,,1/1/2010,$0.25,,$0.15,-$0.10,-40.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Adventures in the Forgotten Realms: Evolving Wilds - #256 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.05,-$0.20,-80.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Adventures in the Forgotten Realms: Feign Death - #103 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.51,$0.26,104.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Adventures in the Forgotten Realms: Iron Golem - #247 - U - Near Mint,Adventures in the Forgotten Realms,Uncommon,,1/1/2010,$0.25,,$0.01,-$0.24,-96.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Adventures in the Forgotten Realms: Owlbear - #198 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.01,-$0.24,-96.00%,-40179 days
97045F35-AFDC15-7C925,"""Magic - Adventures in the Forgotten Realms: Plundering Barbarian - #158
- C - Near Mint""",Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.02,-$0.23,-92.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Theros Beyond Death: Gray Merchant of Asphodel - #99 - U - Near Mint,Theros: Beyond Death,Uncommon,,1/1/2010,$0.25,,$0.46,$0.21,84.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Rise of the Eldrazi: Sea Gate Oracle - #85 - C - Near Mint,Rise of the Eldrazi,Common,,1/1/2010,$0.25,,$0.10,-$0.15,-60.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Rise of the Eldrazi: Ulamog's Crusher - #13 - C - Near Mint,Rise of the Eldrazi,Common,,1/1/2010,$0.25,,$0.20,-$0.05,-20.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Zendikar: Adventuring Gear - #195 - C - Near Mint,Zendikar,Common,,1/1/2010,$0.25,,$0.15,-$0.10,-40.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Eventide: Desecrator Hag - C - Near Mint,Eventide,Common,,1/1/2010,$0.25,,$0.05,-$0.20,-80.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Lorwyn: Oblivion Ring - #34 - C - Near Mint,Lorwyn,Common,,1/1/2010,$0.25,,$0.20,-$0.05,-20.00%,-40179 days
97045F35-AFDC15-7C925,Magic - Magic 2010 (M10): Terramorphic Expanse - #229 - C - Lightly Played,M10-23 Core Set,Common,,1/1/2010,$0.25,,$0.18,-$0.07,-28.00%,-40179 days
97045F35-8AD2D0-25D43,"Magic - Adventures in the Forgotten Realms: Shambling Ghast - #119 - C
- Near Mint",Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.15,-$0.10,-40.00%,-40179 days
97045F35-8AD2D0-25D43,"Magic - Adventures in the Forgotten Realms: Shambling Ghast - #119 - C
- Near Mint",Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.15,-$0.10,-40.00%,-40179 days
97045F35-8AD2D0-25D43,"Magic - Adventures in the Forgotten Realms: Shambling Ghast - #119 - C
- Near Mint",Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.15,-$0.10,-40.00%,-40179 days
97045F35-9A3CA4-1822F,Magic - Time Spiral: Grapeshot - #160 - C - Near Mint,Time Spiral,Common,,1/1/2010,$0.25,,$0.19,-$0.06,-24.00%,-40179 days
97045F35-9A3CA4-1822F,Magic - Commander: Streets of New Capenna: Fellwar Stone - #367 - U - Near Mint,Commander: Streets of New Capenna,Uncommon,,1/1/2010,$0.25,,$0.78,$0.53,212.00%,-40179 days
97045F35-3643A3-94B50,Magic - Adventures in the Forgotten Realms: Burning Hands - #135 - U - Near Mint,Adventures in the Forgotten Realms,Uncommon,,1/1/2010,$0.25,,$0.03,-$0.22,-88.00%,-40179 days
97045F35-3643A3-94B50,Magic - Adventures in the Forgotten Realms: Dragon's Fire - #139 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.05,-$0.20,-80.00%,-40179 days
97045F35-3643A3-94B50,Magic - Adventures in the Forgotten Realms: Hobgoblin Captain - #148 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.01,-$0.24,-96.00%,-40179 days
97045F35-3643A3-94B50,Magic - Adventures in the Forgotten Realms: Owlbear - #198 - C - Near Mint,Adventures in the Forgotten Realms,Common,,1/1/2010,$0.25,,$0.01,-$0.24,-96.00%,-40179 days
97045F35-3643A3-94B50,Magic - Adventures in the Forgotten Realms: Ranger Class - #202 - R - Near Mint,Adventures in the Forgotten Realms,Rare,,1/1/2010,$0.25,,$0.25,$0.00,0.00%,-40179 days
97045F35-3643A3-94B50,Magic - Adventures in the Forgotten Realms: Warlock Class - #125 - U - Near Mint,Adventures in the Forgotten Realms,Uncommon,,1/1/2010,$0.25,,$0.05,-$0.20,-80.00%,-40179 days
97045F35-D59AEE-77741,Magic - Magic 2014 (M14): Brave the Elements - #10 - U - Near Mint,M10-23 Core Set,Uncommon,,1/1/2010,$0.25,,$0.75,$0.50,200.00%,-40179 days
97045F35-D59AEE-77741,Magic - Magic 2014 (M14): Brave the Elements - #10 - U - Near Mint,M10-23 Core Set,Uncommon,,1/1/2010,$0.25,,$0.75,$0.50,200.00%,-40179 days
97045F35-CBA45A-7D1AF,Magic - Lorwyn: Lignify - #228 - C - Near Mint,Lorwyn,Common,,1/1/2010,$0.25,,$0.69,$0.44,176.00%,-40179 days
